date,mogden-rainfall,deephams-rainfall,beckton-rainfall,crossness-rainfall,riverside-rainfall,longreach-rainfall,beddington-rainfall,hogsmill-rainfall
1900-03-21,3.058010377,3.2611979,2.7223416,2.537358339,2.255155901,1.624126278,2.879612623,3.000825737
1900-03-22,0.005111964,0.039395401,0.090738313,0.124783937,0.18403606,0.488283255,0.217451216,0.045018285
1900-03-23,0.110119156,0.266423728,0.1128603,0.040692248,0.114174002,0.018394102,0.012467426,0.017017701
1900-03-24,0,0,0,0,0,0.000193063,0,0
1900-03-25,0.016757416,0.104067796,0.202093589,0.268719465,0.398719361,1.068853471,0.448879959,0.09369888
1900-03-26,0.025201563,0.167657633,0.157750051,0.186700582,0.267417715,0.386033305,0.566353543,0.327268919
1900-03-27,3.476912485,3.000379331,2.583861141,2.337256844,1.647291651,0.512081309,1.325954592,2.469721714
1900-03-28,0.070770263,0.058879393,0.126653508,0.17704493,0.212996339,0.508331577,0.229330726,0.092142891
1900-03-29,0.000186722,0.005678271,0.003359828,0.000459926,0.007816234,0.000343285,0,0
1900-03-30,0,0,0,0,0,0,0,0
1900-03-31,0,0,0,0,0,0,0,0
1900-04-01,0,0,0,0,0,0,0,0
1900-04-02,0.37442976,0.32434278,0.291271245,0.302676502,0.19194551,0.109055802,0.563285675,0.525782019
1900-04-03,9.029008864,9.34540518,8.925634227,8.95495351,8.833864911,10.9022084,10.65290732,8.815691572
1900-04-04,2.288796228,2.729350127,1.845559414,1.370640876,1.381104661,0.333830593,0.440268245,1.102118359
1900-04-05,4.067079403,4.988508876,3.867370332,3.590638171,3.410022921,2.428318639,4.502228716,4.465595549
1900-04-06,0.519192613,0.438291374,0.469044114,0.508935386,0.385300991,0.258961185,0.780515092,0.719045824
1900-04-07,0.262109889,0.435086405,0.467193435,0.49454079,0.711150556,1.273828727,0.778067088,0.323199748
1900-04-08,0,0,0,0,0,0,0,0
1900-04-09,0.459043189,0.45153091,0.305998433,0.22261499,0.175377673,0.046142029,0.070675832,0.18885722
1900-04-10,2.483714514,2.394013915,2.494636165,2.618212921,2.505266218,3.487505296,3.10082644,2.505759871
1900-04-11,0.893478573,0.784427472,0.770937569,0.819227787,0.584107688,0.351679001,1.225878118,1.185366003
1900-04-12,0.294603833,0.681350624,0.687603987,0.725511334,1.15739415,2.563231772,1.058222896,0.243330415
1900-04-13,0.066351988,0.024975862,0.044679975,0.05333571,0.020380499,0.009588115,0.015755863,0.049607211
1900-04-14,0,0,0,0,0,0,0,7.63E-06
1900-04-15,0.440720214,0.430419469,0.363318854,0.308716786,0.266254325,0.05594338,0.081666419,0.261514754
1900-04-16,2.049433308,2.209243089,2.156912551,2.277206191,2.191285051,2.771506912,3.522582737,2.719863505
1900-04-17,1.241630561,1.228368459,1.159901863,1.135921462,1.108212134,1.371086597,1.232247804,1.074025749
1900-04-18,0,0,0,0,0,0,0,0
1900-04-19,0,0,0,0,0,0,0,0
1900-04-20,0,0,0,0,0,0,0,0
1900-04-21,0,0,0,0,0,0,0,0
1900-04-22,0,0,0.000331797,0.004098414,0.01187148,0.009627055,0.005734431,0.000843189
1900-04-23,0,0,0,0,0,0.000186032,0,2.04E-05
1900-04-24,0.488672875,0.362184664,0.333910546,0.299606443,0.187162952,0.050807435,0.081776012,0.261563858
1900-04-25,0.099028536,0.155526698,0.301189457,0.440505341,0.487232487,0.840240857,1.161940626,0.682110178
1900-04-26,0,0,0,0,0,0,0,0
1900-04-27,0,0,0,0,0,0,0,0
1900-04-28,0,0,0,0,0,0,0,0
1900-04-29,0.525561872,0.489018419,0.442478034,0.435042468,0.32453733,0.128969125,0.603674615,0.643165627
1900-04-30,0.772590795,1.715419972,1.516283035,1.647453622,2.104744153,2.58642504,3.87106357,2.48380972
1900-05-01,0,0,0,0,0,0,0,7.51E-05
1900-05-02,0.724062834,0.456767845,0.556853819,0.63019556,0.343224423,0.185109424,0.911471396,0.984528483
1900-05-03,2.026095131,1.442987825,2.022865961,2.360907153,1.856541176,2.516115164,2.45470844,2.354479486
1900-05-04,0,0,0.000244603,0.003008382,0.008224508,0.006849889,0.004083608,0.000648783
1900-05-05,0.003448132,0.007752463,0.005166618,0.00295946,0.006067607,0.0028787,0.001717046,0.002408522
1900-05-06,2.498775062,2.953326254,3.371436189,3.657421736,4.436591518,7.072805367,5.004127319,2.979673782
1900-05-07,0,0,0,0,0,0.004328566,0,3.76E-05
1900-05-08,1.155395414,1.805031931,1.249973197,0.823213499,1.432468812,0.22130557,0.223761371,0.604597023
1900-05-09,2.341421137,3.199224141,2.048278434,1.31978562,1.789205478,0.336053021,0.587404091,1.077611156
1900-05-10,0.003041448,0.007589448,0.005131563,0.002677074,0.006067607,0.001208322,0.001085549,0.001578608
1900-05-11,0,0,0,0,0,0,0,0
1900-05-12,0.291268721,0.530098147,0.264527097,0.114164361,0.258224978,0.066382851,0.064805785,0.048809432
1900-05-13,0.001805164,0.009476513,0.018620594,0.021817774,0.036859023,0.032954815,0.039972808,0.014283001
1900-05-14,0,0,0,0,0,0,0,0
1900-05-15,0,0,0,0,0,0,0,0
1900-05-16,0,0,0,0,0,0,0,0
1900-05-17,0,0,0,0,0,0.000541071,0,0
1900-05-18,0.160613339,0.129531446,0.096099861,0.070233158,0.049224591,0.013272452,0.018871227,0.054977564
1900-05-19,0,0,0,0,0,0,0,0
1900-05-20,0,0,0,0,0,0,0,0
1900-05-21,2.399241463,1.779550297,1.98322322,2.173022869,1.458364725,0.82036133,3.305684803,3.302696744
1900-05-22,6.323048777,6.022679671,6.645299299,7.258326017,6.883487537,9.552466057,10.72649016,8.355257646
1900-05-23,4.892111912,4.11014661,3.492983132,3.039803304,2.389250168,1.450473641,2.706933329,3.230955096
1900-05-24,4.495234479,4.200613054,3.943700427,3.64904203,3.513286507,2.901093136,3.134625922,3.425232377
1900-05-25,0.002641556,0.060484286,0.036019767,0.009667495,0.086988534,0.010351192,0.003781816,0.001566988
1900-05-26,0,0,0,0,0,0,0,0
1900-05-27,0.000977329,0.022659003,0.011072052,0.00283588,0.025527129,0.001896566,0.000384347,0.000619957
1900-05-28,0.000246099,0,0,0.000279741,0,0.000114799,0.000631498,0.000829913
1900-05-29,0,0,0,0,0,0.000338169,0,0
1900-05-30,0.199264954,0.083745043,0.138854551,0.156735485,0.064739816,0.0285915,0.042559922,0.144697488
1900-05-31,1.747968571,1.49910289,2.019972593,2.434567641,2.21916165,3.268510569,3.94948938,3.009530823
1900-06-01,4.612649543,8.035438793,6.360371594,5.541722119,8.153513095,11.04209274,6.132856248,3.652315602
1900-06-02,0,0,0,0,0,0,0,0
1900-06-03,0,0,0,0,0,0,0,0
1900-06-04,0,0,0,0,0,0,0,0
1900-06-05,0.096465898,0.282753448,0.128712086,0.029401005,0.236158467,0.013337867,0.005422433,0.008184541
1900-06-06,2.414966285,2.625400111,1.559644355,0.914638184,0.936480278,0.205046351,0.24101279,0.641258452
1900-06-07,3.503071046,3.548678108,3.523281764,3.643828663,3.399096865,3.391734219,5.631213242,4.860125549
